# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.015, 6.611962e-01, 1.176471e-04
0.015, 6.365364e-01, 1.294118e-04
0.015, 6.139066e-01, 1.411765e-04
0.015, 5.951941e-01, 1.529412e-04
0.015, 5.917002e-01, 1.647059e-04
0.015, 5.447002e-01, 1.764706e-04
0.015, 5.430031e-01, 1.882353e-04
0.015, 5.216823e-01, 2.000000e-04
0.015, 4.421034e-01, 2.117647e-04
0.015, 3.875793e-01, 2.235294e-04
0.015, 3.861025e-01, 2.352941e-04
0.015, 3.670063e-01, 2.470588e-04
0.015, 3.392363e-01, 2.588235e-04
0.015, 3.167412e-01, 2.705882e-04
0.015, 3.127572e-01, 2.823529e-04
0.015, 3.067944e-01, 2.941176e-04
0.015, 2.958227e-01, 3.058824e-04
0.015, 2.952909e-01, 3.176471e-04
0.015, 2.811654e-01, 3.294118e-04
0.015, 2.591221e-01, 3.411765e-04
0.015, 2.528317e-01, 3.529412e-04
0.015, 2.511957e-01, 3.647059e-04
0.015, 2.426748e-01, 3.764706e-04
0.015, 2.424141e-01, 3.882353e-04
0.015, 2.295455e-01, 4.000000e-04
0.015, 2.218726e-01, 4.117647e-04
0.015, 2.178931e-01, 4.235294e-04
0.015, 2.088872e-01, 4.352941e-04
0.015, 2.083841e-01, 4.470588e-04
0.015, 2.076701e-01, 4.588235e-04
0.015, 2.018667e-01, 4.705882e-04
0.015, 2.003714e-01, 4.823529e-04
0.015, 1.917583e-01, 4.941176e-04
0.015, 1.894790e-01, 5.058824e-04
0.015, 1.714781e-01, 5.176471e-04
0.015, 1.714501e-01, 5.294118e-04
0.015, 1.691933e-01, 5.411765e-04
0.015, 1.667402e-01, 5.529412e-04
0.015, 1.656525e-01, 5.647059e-04
0.015, 1.629678e-01, 5.764706e-04
0.015, 1.624060e-01, 5.882353e-04
0.015, 1.554046e-01, 6.000000e-04
0.015, 1.511332e-01, 6.117647e-04
0.015, 1.508789e-01, 6.235294e-04
0.015, 1.490453e-01, 6.352941e-04
0.015, 1.469039e-01, 6.470588e-04
0.015, 1.430094e-01, 6.588235e-04
0.015, 1.420806e-01, 6.705882e-04
0.015, 1.420373e-01, 6.823529e-04
0.015, 1.411647e-01, 6.941176e-04
0.015, 1.385829e-01, 7.058824e-04
0.015, 1.371225e-01, 7.176471e-04
0.015, 1.369684e-01, 7.294118e-04
0.015, 1.326072e-01, 7.411765e-04
0.015, 1.286598e-01, 7.529412e-04
0.015, 1.277432e-01, 7.647059e-04
0.015, 1.264786e-01, 7.764706e-04
0.015, 1.219471e-01, 7.882353e-04
0.015, 1.218655e-01, 8.000000e-04
0.015, 1.193326e-01, 8.117647e-04
0.015, 1.167035e-01, 8.235294e-04
0.015, 1.142418e-01, 8.352941e-04
0.015, 1.131035e-01, 8.470588e-04
0.015, 1.129463e-01, 8.588235e-04
0.015, 1.124993e-01, 8.705882e-04
0.015, 1.117121e-01, 8.823529e-04
0.015, 1.102362e-01, 8.941176e-04
0.015, 1.095844e-01, 9.058824e-04
0.015, 1.089419e-01, 9.176471e-04
0.015, 1.081635e-01, 9.294118e-04
0.015, 1.060371e-01, 9.411765e-04
0.015, 1.042129e-01, 9.529412e-04
0.015, 1.038187e-01, 9.647059e-04
0.015, 1.033697e-01, 9.764706e-04
0.015, 1.032192e-01, 9.882353e-04
0.015, 1.022171e-01, 1.000000e-03
0.015, 1.018225e-01, 1.011765e-03
0.015, 1.003030e-01, 1.023529e-03
0.015, 1.000073e-01, 1.035294e-03
0.015, 9.847179e-02, 1.047059e-03
0.015, 9.738584e-02, 1.058824e-03
0.015, 9.579513e-02, 1.070588e-03
0.015, 9.505049e-02, 1.082353e-03
0.015, 9.160126e-02, 1.094118e-03
0.015, 9.052695e-02, 1.105882e-03
0.015, 8.277390e-02, 1.117647e-03
0.015, 8.200471e-02, 1.129412e-03
0.015, 8.175381e-02, 1.141176e-03
0.015, 8.136743e-02, 1.152941e-03
0.015, 8.130595e-02, 1.164706e-03
0.015, 7.964660e-02, 1.176471e-03
0.015, 7.952077e-02, 1.188235e-03
0.015, 7.901393e-02, 1.200000e-03
0.015, 7.865857e-02, 1.211765e-03
0.015, 7.819798e-02, 1.223529e-03
0.015, 7.804618e-02, 1.235294e-03
0.015, 7.700070e-02, 1.247059e-03
0.015, 7.502349e-02, 1.258824e-03
0.015, 7.211235e-02, 1.270588e-03
0.015, 7.183722e-02, 1.282353e-03
0.015, 7.073568e-02, 1.294118e-03
0.015, 7.017562e-02, 1.305882e-03
0.015, 6.707088e-02, 1.317647e-03
0.015, 6.667584e-02, 1.329412e-03
0.015, 6.470908e-02, 1.341176e-03
0.015, 6.270955e-02, 1.352941e-03
0.015, 6.245655e-02, 1.364706e-03
0.015, 6.218753e-02, 1.376471e-03
0.015, 6.199241e-02, 1.388235e-03
0.015, 6.079097e-02, 1.400000e-03
0.015, 6.004756e-02, 1.411765e-03
0.015, 5.910302e-02, 1.423529e-03
0.015, 5.819164e-02, 1.435294e-03
0.015, 5.803092e-02, 1.447059e-03
0.015, 5.565385e-02, 1.458824e-03
0.015, 5.445936e-02, 1.470588e-03
0.015, 5.406381e-02, 1.482353e-03
0.015, 5.358640e-02, 1.494118e-03
0.015, 5.310969e-02, 1.505882e-03
0.015, 5.245656e-02, 1.517647e-03
0.015, 5.155669e-02, 1.529412e-03
0.015, 5.144932e-02, 1.541176e-03
0.015, 4.853833e-02, 1.552941e-03
0.015, 4.769277e-02, 1.564706e-03
0.015, 4.742675e-02, 1.576471e-03
0.015, 4.687035e-02, 1.588235e-03
0.015, 4.644110e-02, 1.600000e-03
0.015, 4.586777e-02, 1.611765e-03
0.015, 4.402426e-02, 1.623529e-03
0.015, 4.306981e-02, 1.635294e-03
0.015, 4.295024e-02, 1.647059e-03
0.015, 4.091178e-02, 1.658824e-03
0.015, 4.007799e-02, 1.670588e-03
0.015, 3.543241e-02, 1.682353e-03
0.015, 3.517015e-02, 1.694118e-03
0.015, 3.499884e-02, 1.705882e-03
0.015, 3.094860e-02, 1.717647e-03
0.015, 3.020574e-02, 1.729412e-03
0.015, 3.000068e-02, 1.741176e-03
0.015, 2.952301e-02, 1.752941e-03
0.015, 2.944308e-02, 1.764706e-03
0.015, 2.748109e-02, 1.776471e-03
0.015, 2.696088e-02, 1.788235e-03
0.015, 2.681354e-02, 1.800000e-03
0.015, 2.641694e-02, 1.811765e-03
0.015, 2.617206e-02, 1.823529e-03
0.015, 2.483247e-02, 1.835294e-03
0.015, 2.382414e-02, 1.847059e-03
0.015, 2.184370e-02, 1.858824e-03
0.015, 2.100676e-02, 1.870588e-03
0.015, 1.943579e-02, 1.882353e-03
0.015, 1.915969e-02, 1.894118e-03
0.015, 1.848491e-02, 1.905882e-03
0.015, 1.782577e-02, 1.917647e-03
0.015, 1.500208e-02, 1.929412e-03
0.015, 1.366431e-02, 1.941176e-03
0.015, 1.227824e-02, 1.952941e-03
0.015, 1.204433e-02, 1.964706e-03
0.015, 1.156286e-02, 1.976471e-03
0.015, 1.109197e-02, 1.988235e-03
0.020, 1.261633e+01, 1.176471e-05
0.020, 1.230591e+01, 2.352941e-05
