# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
8.9, 7.668586e+00
9.0, 6.159297e+00
9.1, 6.969020e+00
9.2, 7.858859e+00
9.3, 6.180763e+00
9.4, 1.115079e+01
9.5, 5.076255e+00
9.6, 4.710688e+00
9.7, 1.284665e+01
9.8, 1.108795e+01
9.9, 7.118686e+00
10.0, 2.092240e+01

事件 4
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.55, 84.81, -90.1044, 35.1334, 7.30, 16.06

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.720041e+01
0.2, 3.969477e+01
0.3, 2.455902e+01
0.4, 2.464780e+01
0.5, 2.595946e+01
0.6, 1.334619e+01
0.7, 2.198531e+01
0.8, 1.542332e+01
0.9, 1.883893e+01
1.0, 1.656537e+01
1.1, 3.227571e+01
1.2, 2.524243e+01
1.3, 2.266876e+01
1.4, 2.983777e+01
1.5, 2.185025e+01
1.6, 2.640634e+01
1.7, 2.313302e+01
1.8, 1.484316e+01
1.9, 1.300071e+01
2.0, 1.499512e+01
2.1, 1.309282e+01
2.2, 1.926472e+01
2.3, 1.745500e+01
2.4, 1.617705e+01
2.5, 3.159743e+01
2.6, 2.664771e+01
2.7, 1.430257e+01
2.8, 1.815378e+01
2.9, 2.230002e+01
3.0, 1.200329e+01
3.1, 4.544229e+01
3.2, 1.645865e+01
3.3, 1.938245e+01
3.4, 2.865520e+01
3.5, 2.335342e+01
3.6, 2.390072e+01
3.7, 2.546378e+01
3.8, 3.322647e+01
3.9, 1.376143e+01
4.0, 2.641296e+01
4.1, 1.464384e+01
4.2, 2.129420e+01
4.3, 1.743478e+01
4.4, 1.232343e+01
4.5, 1.063790e+01
4.6, 1.696171e+01
4.7, 1.243463e+01
4.8, 1.019670e+01
4.9, 9.378320e+00
5.0, 7.832930e+00
5.1, 2.046313e+01
5.2, 1.286338e+01
5.3, 1.535986e+01
5.4, 1.547649e+01
5.5, 1.208452e+01
5.6, 1.163200e+01
5.7, 9.431574e+00
5.8, 5.957119e+00
5.9, 1.790657e+01
6.0, 1.129308e+01
6.1, 1.276666e+01
6.2, 1.273929e+01
6.3, 6.950130e+00
6.4, 1.715150e+01
6.5, 1.448731e+01
6.6, 1.335733e+01
6.7, 1.257070e+01
6.8, 9.138517e+00
6.9, 1.154968e+01
7.0, 5.337299e+00
7.1, 2.376615e+01
7.2, 2.572703e+01
7.3, 1.356931e+01
7.4, 1.449616e+01
7.5, 1.739759e+01
7.6, 9.940348e+00
7.7, 5.250828e+00
7.8, 1.191268e+01
7.9, 7.937328e+00
8.0, 7.795588e+00
8.1, 5.414322e+00
8.2, 1.238126e+01
8.3, 9.895425e+00
8.4, 7.694664e+00
